"id","name","date","dating_notes","xlong","ylat","date_type","morph","azimuth","area","trait_1","trait_2","trait_3","trait_4","trait_5","trait_6","trait_7","trait_8","xeast","ynorth"
96,"Kouk Khdoch",839,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",103.65231,13.53739,"graphbased","horseshoe_east",91.665058,1554.117452,FALSE,TRUE,NA,NA,NA,NA,NA,NA,354162,1496965
97,"Kouk Trâpeang Lbauk",1132.733,"Date derived through multiple linear regression (Klassen et al. 2018).",103.6774,13.53597,"regression","horseshoe_east",67.02714,696.452791,TRUE,TRUE,NA,NA,NA,NA,NA,NA,356876.2,1496794
98,"Kouk Khang Lech",1114,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",103.67424,13.54086,"graphbased","horseshoe_east",83.817164,780.171064,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,356536.9,1497338
99,"Kouk Bos Andong",976.1908,"Date derived through multiple linear regression (Klassen et al. 2018).",103.68461,13.55168,"regression","square",90.084012,5224.42408,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,357667.5,1498529
100,"Kouk Kou",856,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",103.68643,13.54765,"graphbased","horseshoe_east",87.780412,1027.837689,TRUE,TRUE,NA,NA,NA,NA,NA,NA,357857.5,1498084
101,"Kouk Bos Som",976.1908,"Date derived through multiple linear regression (Klassen et al. 2018).",103.68051,13.54626,"regression","horseshoe_east",95.768003,1476.537479,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,357218.3,1497934
102,"Tuol Prasat Tumroeng",1132.733,"Date derived through multiple linear regression (Klassen et al. 2018).",103.70471,13.52626,"regression","horseshoe_east",74.974758,2616.680544,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,359831.7,1495706
103,"Ka-aek Tum",1132.733,"Date derived through multiple linear regression (Klassen et al. 2018).",103.73515,13.53626,"regression","causeway_2",93.179794,1479.788905,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,363125.5,1496795
104,"Kouk Kou",976.1908,"Date derived through multiple linear regression (Klassen et al. 2018).",103.74069,13.54429,"regression","horseshoe_east",67.66656,1129.827404,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,363732.6,1497676
105,"Wat Roluos",1041,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",104.00218,13.33329,"graphbased","horseshoe_east",86.820244,3931.03974,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,391942.2,1474214
106,"Kouk Takel",1132.733,"Date derived through multiple linear regression (Klassen et al. 2018).",103.75071,13.5336,"regression","horseshoe_east",85.327604,1843.081167,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,364804.8,1496494
107,"Kouk Trâpeang Ta Veal",1087.121,"Date derived through multiple linear regression (Klassen et al. 2018).",103.75602,13.52546,"regression","horseshoe_east",90,2102.78483,TRUE,TRUE,NA,NA,NA,NA,NA,NA,365371.3,1495583
108,"Kouk Yeay Love",856,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",103.75407,13.55222,"graphbased","horseshoe_east",80.049434,1233.668779,TRUE,TRUE,NA,NA,NA,NA,NA,NA,365178,1498547
109,"Kouk Kou",1111,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",103.76756,13.5344,"graphbased","horseshoe_east",83.509133,983.847403,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,366632.5,1496569
110,"Kouk Kou",1087.121,"Date derived through multiple linear regression (Klassen et al. 2018).",103.77887,13.52443,"regression","square",89.746118,5620.32992,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,367859,1495454
111,"Kôk Kbal Krâpeu",976.1908,"Date derived through multiple linear regression (Klassen et al. 2018).",103.7724,13.53152,"regression","horseshoe_east",90,426.121087,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,367156.8,1496253
112,"Kôk Svay Chek",1308,"Date derived from analyses of inscriptions (Lustig 2009).",104.01399,13.29978,"empirical","horseshoe_east",97.495879,3225.025638,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,393197.4,1470501
